,0
0,rennell-parrot
1,réunion-bulbul
2,réunion-cuckooshrike
3,réunion-grey-whiteeye
4,réunion-harrier
5,réunion-ibis
6,réunion-kestrel
7,réunion-night-heron
8,réunion-olive-whiteeye
9,réunion-owl
10,réunion-rail
11,réunion-sheldgoose
12,réunion-stonechat
13,río-orinoco-spinetail
14,rondônia-bushbird
15,rücks-blue-flycatcher
16,rüppells-black-chat
17,rüppells-korhaan
18,rüppells-parrot
19,rüppells-robinchat
20,rüppells-starling
21,rüppells-vulture
22,rüppells-warbler
23,rüppells-weaver
24,ryūkyū-scops-owl
25,saint-helena-crake
26,saint-helena-cuckoo
27,saint-helena-hoopoe
28,saint-helena-petrel
29,saint-helena-plover
30,saint-helena-rail
31,saint-lucia-amazon
32,saint-lucia-black-finch
33,saint-lucia-oriole
34,saint-lucia-warbler
35,saint-vincent-amazon
36,san-cristóbal-flycatcher
37,san-cristóbal-mockingbird
38,sand-martin--bank-swallow
39,sandcoloured-nighthawk
40,sao-francisco-black-tyrant1
41,são-francisco-sparrow
42,são-paulo-tyrannulet
43,são-tomé-fiscal
44,são-tomé-green-pigeon
45,são-tomé-grosbeak
46,são-tomé-ibis
47,são-tomé-olive-pigeon
48,são-tomé-oriole
49,são-tomé-paradise-flycatcher
50,são-tomé-prinia
51,são-tomé-scops-owl
52,são-tomé-shorttail
53,são-tomé-spinetail
54,são-tomé-thrush
55,são-tomé-weaver
56,são-tomé-whiteeye
57,seram-masked-owl
58,shore-plover
59,sincorá-antwren
60,sinú-parakeet
61,sjöstedts-barred-owlet
62,sjöstedts-greenbul
63,slatecoloured-grosbeak
64,slatecoloured-seedeater
65,snow-mountains-robin
