,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,sooty-swift,LC - Least concern,,Hemiprocne fumigata,Swifts and Hummingbirds / Apodiformes,Swifts / Apodidae,Cypseloides,South America,"e Bolivia, e Paraguay, ne Argentina and se Brazil",https://dibird.com/species/sooty-swift/,-
0,sooty-tern,LC - Least concern,"Wideawake, Wiseawake Tern, Wideawake Tern","Onychoprion fuscata, Sterna fuliginosa, Sterna fuscata",Shorebirds / Charadriiformes,"Gulls, Terns, Skimmers / Laridae",Onychoprion,Tropical,widespread,https://dibird.com/species/sooty-tern/,-
0,sooty-thicket-fantail,LC - Least concern,"Sooty Fantail, Sooty Thicket-Fantail",,Perching Birds / Passeriformes,Fantails / Rhipiduridae,Rhipidura,Australasia,New Guinea,https://dibird.com/species/sooty-thicket-fantail/,-
0,sooty-thrush,LC - Least concern,"Sooty Ouzel, Sooty Robin",Turdus nigriscens,Perching Birds / Passeriformes,Thrushes / Turdidae,Turdus,Middle America,Costa Rica and Panama,https://dibird.com/species/sooty-thrush/,-
0,sooty-tyrannulet,LC - Least concern,,Sylvia nigricans,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Serpophaga,South America,"s Bolivia, e Paraguay and sc Brazil to c Argentina and Uruguay",https://dibird.com/species/sooty-tyrannulet/,-
0,sooty-woodpecker,NT - Near threatened,"Northern Sooty Woodpecker, Northern Sooty-Woodpecker, Sooty Woodpecker",Picus funebris,"Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Mulleripicus,Oriental Region,n Philippines,https://dibird.com/species/sooty-woodpecker/,-
0,sootycapped-babbler,NT - Near threatened,"Small Tree Babbler, Plain Babbler, Sooty-capped Tree-Babbler, Sooty capped Babbler, Sooty-headed Babbler","Malacopterum affine, Tr [ichastoma]. affine",Perching Birds / Passeriformes,Ground Babblers / Pellorneidae,Malacopteron,Oriental Region,"Malay Pen., Sumatra and Borneo",https://dibird.com/species/sootycapped-babbler/,-
0,sootycapped-bush-tanager,LC - Least concern,"Sooty capped Bush Tanager, Pileated Bush Tanager, Sooty-capped Chlorospingus, Sooty-capped Tanager Finch, Pileated Bush-Tanager, Sooty-capped Bush-Tanager, Volcano Bush-Tanager",,Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Chlorospingus,Middle America,Costa Rica and w Panama,https://dibird.com/species/sootycapped-bush-tanager/,-
0,sootycapped-hermit,LC - Least concern,"Sooty capped Hermit, Salle's Hermit","Trochilus augusti, Phaethornis augustii",Swifts and Hummingbirds / Apodiformes,Hummingbirds / Trochilidae,Phaethornis,South America,n,https://dibird.com/species/sootycapped-hermit/,-
0,sootycapped-puffbird,NT - Near threatened,Sooty capped Puffbird,Nystactes noanamae,"Woodpeckers, Toucans and relatives / Piciformes",Puffbirds / Bucconidae,Bucco,South America,w Colombia,https://dibird.com/species/sootycapped-puffbird/,-
0,sootycrowned-flycatcher,LC - Least concern,"Ashy-fronted Flycatcher, Sooty crowned Flycatcher",,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Myiarchus,South America,w Ecuador and n Peru,https://dibird.com/species/sootycrowned-flycatcher/,-
0,sootyfaced-finch,LC - Least concern,"Barranca Finch, Sooty faced Finch","Lysurus crassirostris, Buarremon crassirostris",Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Arremon,Middle America,Costa Rica and Panama,https://dibird.com/species/sootyfaced-finch/,-
0,sootyfronted-spinetail,LC - Least concern,"Sooty fronted Spinetail, Sooty-fronted Spinetail (incl. ssp. poliophrys), Sooty-fronted Spinetail (incl. poliophrys)",Synallaxis poliophrys,Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Synallaxis,South America,"e, c, s Brazil, Bolivia, n, nw Argentina, Paraguay and Uruguay",https://dibird.com/species/sootyfronted-spinetail/,-
0,sootyheaded-bulbul,LC - Least concern,"Red-vented Bulbul, Black-capped Bulbul, Golden-vented Bulbul, White-eared Bulbul, Sooty headed Bulbul",Turdus aurigaster,Perching Birds / Passeriformes,Bulbuls / Pycnonotidae,Pycnonotus,Oriental Region,se Asia,https://dibird.com/species/sootyheaded-bulbul/,-
0,sootyheaded-tyrannulet,LC - Least concern,"Crested Tyrannulet, Sooty-crested Tyrannulet, Sooty headed Tyrannulet",Tyranniscus griseiceps,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Phyllomyias,South America,"e Panama to the Guianas and n Brazil, e Ecuador and e Peru, sw Colombia and nw Ecuador",https://dibird.com/species/sootyheaded-tyrannulet/,-
0,sootyheaded-wren,LC - Least concern,,Thryothorus spadix,Perching Birds / Passeriformes,Wrens / Troglodytidae,Pheugopedius,"South America, Middle America",Panama and Colombia,https://dibird.com/species/sootyheaded-wren/,-
0,sora,LC - Least concern,"Meadow Chicken, Ortolan, Sora Crake, Carolina Crake, Carolina Rail, Sora Rail",Rallus carolinus,"Cranes, Rails and relatives / Gruiformes","Rails, Crakes & Coots / Rallidae",Porzana,North America,widespread,https://dibird.com/species/sora/,"s USA to n, nw SA"
0,souimanga-sunbird,LC - Least concern,,"Certhia sovimanga, Cinnyris souimanga",Perching Birds / Passeriformes,Sunbirds / Nectariniidae,Cinnyris,Africa,Madagascar,https://dibird.com/species/souimanga-sunbird/,-
0,south-african-cliff-swallow,LC - Least concern,"African Cliff-Swallow, African Cliff Swallow, South African Cliff-Swallow, South African Swallow",Hirundo spilodera,Perching Birds / Passeriformes,"Swallows, Martins / Hirundinidae",Petrochelidon,Africa,Namibia; Zimbabwe; se Botswana to South Africa,https://dibird.com/species/south-african-cliff-swallow/,to s Congo and c DR Congo
0,south-african-shelduck,LC - Least concern,"Cape Shelduck, African Shelduck","Anas cana, Casarca cana",Ducks and relatives / Anseriformes,"Ducks, Geese, Swans / Anatidae",Tadorna,Africa,"Namibia, Botswana and South Africa",https://dibird.com/species/south-african-shelduck/,-
