,Common Name,Kingdom,Phylum,Class,Link,Description,biogeographic realm,eats,geographic distribution includes,habitat,has host,life span,litters per year,locomotion,population trend,prenatal development duration,preys on,weight,auditory system,ecoregion,hearing range,hearing threshold,mineralized skeleton contains,type specimen repository,visual system,body mass,genome size,behavioral circadian rhythm,is vector for,has ectoparasite,conservation status,bill length,body length,ecomorphological guild,foraging habitat,tarsometatarsus + middle toe length,temperature at range midpoint latitude,trophic guild,clutch/brood/litter size,parasitized by,body shape,diet includes,mating system,native range includes,parental care,social system,growth rate,motility,trophic level,onset of fertility,mutualistic with,visits flowers of,basal metabolic rate,initial mortality rate,sensory system,parasite of,number of public records in bold,symbiont of,host of,tarsus length,middle toe length,body temperature,is eaten by,has endoparasite,egg mass,harvested in,used for
0,Rusty blackbird,Animalia,Chordata,Aves,https://eol.org/pages/45511161,Euphagus carolinus (Rusty Blackbird) is a species of birds in the family New World blackbirds. They are listed as vulnerable by IUCN and as of special concern by COSEWIC. They are found in The Nearctic and The Neotropics. They rely on flight to move around.,The Nearctic,Lindera benzoin (L.) Meisn. (northern spicebush),Ontario,temperate,Euphagus carolinus (Statius Müller & PL 1776) (Rusty blackbird),8.8 years,1 /year,flight,Decreasing,14 days,Araneidae (Orb Weavers),60.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rusty bush lark,Animalia,Chordata,Aves,https://eol.org/pages/45515338,Mirafra rufa (Rusty Bush Lark) is a species of birds in the family larks. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,,terrestrial,,,,bipedal movement,Stable,,,,tympanic middle ear,East Saharan Montane Xeric Woodlands,5000 Hz,10 dB,apatite,NHMUK,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rusty flowerpiercer,Animalia,Chordata,Aves,https://eol.org/pages/921767,Diglossa sittoides (Rusty Flower Piercer) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,Ulex europaeus L. (gorse),South Pacific,"tropical,terrestrial",,,,flight,Stable,,,,tympanic middle ear,,,,apatite,,corneal eyes,10.7 g,1.332 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rusty laughingthrush,Animalia,Chordata,Aves,https://eol.org/pages/52571217,Pterorhinus poecilorhynchus (Rusty Laughingthrush) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,,,,,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rusty mousewarbler,Animalia,Chordata,Aves,https://eol.org/pages/58799858,Crateroscelis murina (Rusty Mouse Warbler) is a species of  in the family pardalotes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rusty sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511929,Aimophila rufescens (Rusty Sparrow) is a species of birds in the family Passerellidae. They are found in The Neotropics and The Nearctic. They rely on flight to move around.,The Neotropics,,United States,"montane forest,terrestrial",,,,flight,Stable,,,,tympanic middle ear,,,10 dB,apatite,(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology},corneal eyes,38.9 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rusty thicketbird,Animalia,Chordata,Aves,https://eol.org/pages/52571008,Cincloramphus rubiginosus (Rusty Thicketbird) is a species of birds in the family Locustellidae. They rely on flight to move around.,,,,,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rusty tinamou,Animalia,Chordata,Aves,https://eol.org/pages/45511979,Crypturellus brevirostris (Rusty Tinamou) is a species of birds in the family tinamous. They are found in The Neotropics. They are diurnal.,The Neotropics,,Brazil,"swamp forest,terrestrial",,,,bipedal movement,Decreasing,,,,otoliths,Juruá-Purus Moist Forests,,20 dB,apatite,,corneal eyes,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rusty whistler,Animalia,Chordata,Aves,https://eol.org/pages/45516812,Pachycephala hyperythra (Rusty Whistler) is a species of birds in the family whistlers. They are found in australasia. They rely on flight to move around.,australasia,,Indonesia,"mountain,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,Northern New Guinea Montane Rain Forests,,10 dB,apatite,,corneal eyes,29 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rwenzori apalis,Animalia,Chordata,Aves,https://eol.org/pages/45514541,Oreolais ruwenzorii (Rwenzori Apalis) is a species of birds in the family African warblers. They rely on flight to move around.,,,Uganda,"tropical,terrestrial",,,,flight,Stable,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,NHMUK,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
