,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,type specimen repository,body shape,diet includes,eats,mating system,native range includes,parental care,social system,foraging habitat,preys on,trophic guild,hearing range,bill length,tarsus length,temperature at range midpoint latitude,ecomorphological guild,body length,life span,litters per year,prenatal development duration,weight,body temperature,parasitized by,behavioral circadian rhythm,sensory system,number of public records in bold,has ectoparasite,host of,has pathogen,onset of fertility,genome size,mutualistic with,growth rate,tarsometatarsus + middle toe length,basal metabolic rate,used for,has endoparasite,visits flowers of,is vector for,clutch/brood/litter size,is eaten by,developmental mode,wing morphology,egg mass,has host
0,Spotted wood kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/45516436,Actenoides lindsayi (Spotted Wood Kingfisher) is a species of birds in the family Alcedinidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,117 g,Luzon Tropical Pine Forests,The Philippines,"forest,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Spotted wood owl,Animalia,Chordata,Aves,https://eol.org/pages/1178285,Strix seloputo (Spotted Wood Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,1011 g,,Myanmar,terrestrial,-15 dB,flight,apatite,Stable,corneal eyes,cites appendix ii,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Spotted wood quail,Animalia,Chordata,Aves,https://eol.org/pages/45508984,Odontophorus guttatus (Spotted Wood Quail) is a species of birds in the family New World quails. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,294 g,,Belize,"mountain,terrestrial",20 dB,flight,apatite,Decreasing,corneal eyes,,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Spragues pipit,Animalia,Chordata,Aves,https://eol.org/pages/45511054,"Anthus spragueii (Sprague's Pipit) is a species of birds in the family Motacillidae. They are listed as vulnerable by IUCN and as threatened by COSEWIC. They are native to The Nearctic. They are solitary, diurnal omnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.",,The Nearctic,,,United States,mountain,,flight,,Decreasing,,,,bilaterally symmetric,seeds,Rhinoncus,monogamous,The Nearctic,provisioning,solitary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Squacco heron,Animalia,Chordata,Aves,https://eol.org/pages/45513564,Ardeola ralloides (Squacco Heron) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in the palearctic and Afrotropics. They are crepuscular. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,the palearctic,287 g,,Mozambique,marine,,flight,,Unknown,corneal eyes,,,,,Gryllotalpa,,,,,freshwater,Cichlidae (cichlids and tilapias),invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Squamate antbird,Animalia,Chordata,Aves,https://eol.org/pages/52570803,Myrmoderus squamosus (Squamate Antbird) is a species of birds in the family typical antbirds. They rely on flight to move around.,tympanic middle ear,,,,,terrestrial,10 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Squatter pigeon,Animalia,Chordata,Aves,https://eol.org/pages/1049949,Geophaps scripta (Squatter Pigeon) is a species of birds in the family Columbidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,250 g,Brigalow Tropical Savanna,United States,"arid,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Squirrel cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/45511570,Piaya cayana (Common Squirrel Cuckoo) is a species of birds in the family Cuculidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,129 g,,South Atlantic,terrestrial,20 dB,flight,apatite,Decreasing,corneal eyes,,,,,Miconia theizans (Bonpl.) Cogn.,,,,,,CORRUPTED VALUE for trait R20-PK36873307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka bay owl,Animalia,Chordata,Aves,https://eol.org/pages/45516345,Phodilus assimilis (Sri Lanka Bay Owl) is a species of birds in the family Tytonidae. They rely on flight to move around.,tympanic middle ear,,,,India,"grassland,terrestrial",-15 dB,bipedal movement,apatite,Stable,corneal eyes,,NHMUK,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka blue magpie,Animalia,Chordata,Aves,https://eol.org/pages/916574,Urocissa ornata (Ceylon Blue Magpie) is a species of birds in the family Corvidae. They are listed as vulnerable by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,196 g,,Sri Lanka,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
