,0
0,https://en.wikipedia.org/wiki/Rifleman
1,https://en.wikipedia.org/wiki/Ring-billed_gull
2,https://en.wikipedia.org/wiki/Rock_dove
3,https://en.wikipedia.org/wiki/Rodrigues_solitaire
4,https://en.wikipedia.org/wiki/Rook
5,https://en.wikipedia.org/wiki/Ruff
6,https://en.wikipedia.org/wiki/Rufous_shrikethrush
7,https://en.wikipedia.org/wiki/Rufous_treepie
8,https://en.wikipedia.org/wiki/Rufous-tailed_jungle_flycatcher
9,https://en.wikipedia.org/wiki/Rufous-winged_antwren
10,https://en.wikipedia.org/wiki/Russet-backed_jungle_flycatcher
11,https://en.wikipedia.org/wiki/R%C3%A9union_grey_white-eye
12,https://en.wikipedia.org/wiki/Sarus_crane
13,https://en.wikipedia.org/wiki/Savanna_hawk
14,https://en.wikipedia.org/wiki/Sharpe%27s_longclaw
15,https://en.wikipedia.org/wiki/Sierra_Leone_prinia
16,https://en.wikipedia.org/wiki/Silverbird
17,https://en.wikipedia.org/wiki/Slaty-headed_tody-flycatcher
18,https://en.wikipedia.org/wiki/Snowcap
19,https://en.wikipedia.org/wiki/Solomons_boobook
20,https://en.wikipedia.org/wiki/Somali_short-toed_lark
21,https://en.wikipedia.org/wiki/Song_thrush
22,https://en.wikipedia.org/wiki/Sooty_woodpecker
23,https://en.wikipedia.org/wiki/Sora
24,https://en.wikipedia.org/wiki/Southern_chestnut-tailed_antbird
25,https://en.wikipedia.org/wiki/Speckle-faced_parrot
26,https://en.wikipedia.org/wiki/Spotted_greenbul
27,https://en.wikipedia.org/wiki/Spotted_owl
28,https://en.wikipedia.org/wiki/Streak-headed_antbird
29,https://en.wikipedia.org/wiki/Sunda_bulbul
30,https://en.wikipedia.org/wiki/Tristan_moorhen
31,https://en.wikipedia.org/wiki/Tui
32,https://en.wikipedia.org/wiki/Water_pipit
33,https://en.wikipedia.org/wiki/Water_rail
34,https://en.wikipedia.org/wiki/Wattled_crane
35,https://en.wikipedia.org/wiki/Western_black-headed_batis
36,https://en.wikipedia.org/wiki/Western_gull
37,https://en.wikipedia.org/wiki/Whistling_green_pigeon
38,https://en.wikipedia.org/wiki/White_bellbird
39,https://en.wikipedia.org/wiki/White_tern
40,https://en.wikipedia.org/wiki/White-throated_laughingthrush
41,https://en.wikipedia.org/wiki/White-throated_toucanet
42,https://en.wikipedia.org/wiki/White-winged_scoter
43,https://en.wikipedia.org/wiki/Whooper_swan
44,https://en.wikipedia.org/wiki/Whooping_crane
45,https://en.wikipedia.org/wiki/Willet
46,https://en.wikipedia.org/wiki/Wood_stork
47,https://en.wikipedia.org/wiki/Yellow_thornbill
48,https://en.wikipedia.org/wiki/Yellow_wattlebird
49,https://en.wikipedia.org/wiki/Yellowhead
50,https://en.wikipedia.org/wiki/Yellow-throated_miner
51,https://en.wikipedia.org/wiki/Yellow-throated_vireo
